1
-.21945198E+001 -.17540208E+001 -.19154821E+001 -.24076799E+001 -.17806380E+001 -.23447054E+001 -.26414672E+001 -.25847621E+001 -.29029790E+001 -.20541030E+001
-.19777306E+001 -.29323199E+001 -.21808775E+001 -.31043778E+001 -.24170421E+001 -.19044036E+001 -.18063096E+001 -.11346407E+001 -.10341689E+001 -.15890215E+001
-.20452560E+001 -.88730145E+000 -.13798019E+001 -.15116181E+001 -.19605994E+001 0.12294850E+001 0.12571157E+001 0.97280855E+000 0.20511929E+001 0.25532637E+001
0.19232515E+001 0.12328468E+001 0.34767230E+001 0.20852004E+001 0.40248367E+001 0.11746485E+001 0.24821142E+001 0.10616607E+001 0.42248935E+001 0.14618876E+001
0.21121467E+001 0.26296727E+001 -.25218807E+001 -.10101372E+001 -.16641860E+001 -.95561831E+000 -.91051492E+000 -.87164092E+000 -.12142945E+001 -.19027951E+001
-.83972694E+000 -.27883076E+000 -.57716981E+000 -.64488950E+000 -.44545188E+000 -.48215766E+000 -.53319701E+000 -.56958631E+000 -.59655128E+000 0.11584486E+001
0.27081680E+001 0.17815798E+001 -.19282106E+001 -.13238554E+001 -.14100196E+001 0.93578883E+000 0.17419788E+001 0.13432537E+001 0.32483549E+001 0.19032320E+001
0.22427472E+001 0.36141467E+001 0.25487500E+001 0.30767326E+001 0.32117150E+001 0.26091341E+001 0.22219867E+001 0.27534820E+001 0.24142714E+001 0.34534080E+001
0.22686671E+001 0.17540036E+001 0.15781433E+001 0.25982351E+001 0.30807119E+001 -.52895210E+000 0.12368657E+001 0.93858291E+000 0.64353920E+000
0.19559633E+000 0.16351227E+000 0.17354246E+000 0.21064005E+000 0.16566893E+000 0.20766426E+000 0.23373599E+000 0.23425495E+000 0.26437858E+000 0.18902079E+000
0.18230063E+000 0.26718154E+000 0.19506860E+000 0.28423422E+000 0.21685465E+000 0.17681217E+000 0.16700383E+000 0.57159214E-001 0.55200813E-001 0.65358109E-001
